trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3083,False,"{'a': 0.001, 'e': 0.04586742999301104}",25,13,21.386414928585147,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3084,False,"{'a': 0.001, 'e': 0.045821585489090357}",20,9,20.73005739405584,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3085,False,"{'a': 0.001, 'e': 0.04577578680675899}",20,14,12.39561873314813,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3086,False,"{'a': 0.001, 'e': 0.04573003390021825}",20,13,17.054184198923043,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3087,False,"{'a': 0.001, 'e': 0.04568432672371522}",20,0,29.404131213418548,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3088,False,"{'a': 0.001, 'e': 0.0456386652315427}",35,21,21.763154461079957,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3089,False,"{'a': 0.001, 'e': 0.045593049378039235}",20,14,11.1851826590245,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3090,False,"{'a': 0.001, 'e': 0.04554747911758895}",20,9,20.855129151129358,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3091,False,"{'a': 0.001, 'e': 0.04550195440462157}",25,8,29.668043065203868,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3092,False,"{'a': 0.001, 'e': 0.04545647519361237}",25,7,33.62510062779798,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3093,False,"{'a': 0.001, 'e': 0.04541104143908218}",20,4,20.896123560874138,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
3094,False,"{'a': 0.001, 'e': 0.0453656530955972}",20,11,15.904769808695107,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3095,False,"{'a': 0.001, 'e': 0.04532031011776911}",20,12,15.558971853493642,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3096,False,"{'a': 0.001, 'e': 0.045275012460254886}",30,20,18.959792344832195,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3097,False,"{'a': 0.001, 'e': 0.04522976007775692}",20,4,23.77057297438613,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3098,False,"{'a': 0.001, 'e': 0.0451845529250228}",25,19,9.222409422930934,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3099,False,"{'a': 0.001, 'e': 0.04513939095684536}",30,18,21.151788180168396,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3100,False,"{'a': 0.001, 'e': 0.04509427412806263}",20,6,20.063428742130725,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3101,False,"{'a': 0.001, 'e': 0.0450492023935578}",30,23,15.811588858781425,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3102,False,"{'a': 0.001, 'e': 0.045004175708259125}",30,0,31.698248166835977,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
3103,False,"{'a': 0.001, 'e': 0.0449591940271399}",25,18,0.3820248997093043,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
3104,False,"{'a': 0.001, 'e': 0.04491425730521843}",30,18,25.120186962968326,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3105,False,"{'a': 0.001, 'e': 0.04486936549755804}",20,10,20.641857671318128,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3106,False,"{'a': 0.001, 'e': 0.04482451855926687}",35,13,26.384218578075277,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
3107,False,"{'a': 0.001, 'e': 0.044779716445498004}",30,0,44.79874276545285,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3108,False,"{'a': 0.001, 'e': 0.04473495911144929}",25,11,10.878738076410901,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3109,False,"{'a': 0.001, 'e': 0.04469024651236344}",20,8,22.519210884772132,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3110,False,"{'a': 0.001, 'e': 0.04464557860352782}",20,4,22.394366095125093,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3111,False,"{'a': 0.001, 'e': 0.044600955340274535}",30,16,25.26700487717173,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3112,False,"{'a': 0.001, 'e': 0.04455637667798028}",20,11,17.66090737089226,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3113,False,"{'a': 0.001, 'e': 0.04451184257206644}",25,14,19.82218351676471,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3114,False,"{'a': 0.001, 'e': 0.04446735297799888}",20,0,34.6327963924923,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3115,False,"{'a': 0.001, 'e': 0.044422907851287996}",30,17,23.73026194681901,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3116,False,"{'a': 0.001, 'e': 0.04437850714748865}",30,21,17.988981356165812,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3117,False,"{'a': 0.001, 'e': 0.04433415082220017}",20,12,-35.6215265471918,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
3118,False,"{'a': 0.001, 'e': 0.044289838831066214}",25,16,17.5247441336178,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3119,False,"{'a': 0.001, 'e': 0.04424557112977477}",25,20,9.158441272895434,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3120,False,"{'a': 0.001, 'e': 0.04420134767405813}",20,14,12.017875330207616,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3121,False,"{'a': 0.001, 'e': 0.04415716841969286}",20,6,12.676559425467051,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3122,False,"{'a': 0.001, 'e': 0.044113033322499696}",25,15,19.192919950484814,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3123,False,"{'a': 0.001, 'e': 0.04406894233834353}",30,17,23.17236830427881,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3124,False,"{'a': 0.001, 'e': 0.04402489542313335}",25,5,-1.377344540937406,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
